"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Delete exercise","LMS service","Tue Aug 19 20:50:12 UTC 2025","passed","Tue Aug 19 20:50:12 UTC 2025","Delete entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Tue Aug 19 20:50:15 UTC 2025","passed","Tue Aug 19 20:50:16 UTC 2025","Validate entity","Files","",""
"","551","Login with correct email and password","LMS service","Tue Aug 19 20:50:08 UTC 2025","passed","Tue Aug 19 20:50:08 UTC 2025","Login","Authentication","",""
"","27","Create course","LMS service","Tue Aug 19 20:50:10 UTC 2025","passed","Tue Aug 19 20:50:10 UTC 2025","Create entity","Courses","",""
"","301","Update course","LMS service","Tue Aug 19 20:50:08 UTC 2025","passed","Tue Aug 19 20:50:09 UTC 2025","Update entity","Courses","",""
"","13","Get file","LMS service","Tue Aug 19 20:50:15 UTC 2025","passed","Tue Aug 19 20:50:15 UTC 2025","Get entity","Files","",""
"","559","Create user","LMS service","Tue Aug 19 20:50:17 UTC 2025","passed","Tue Aug 19 20:50:17 UTC 2025","Create entity","Users","",""
"","291","Create exercise","LMS service","Tue Aug 19 20:50:11 UTC 2025","passed","Tue Aug 19 20:50:11 UTC 2025","Create entity","Exercises","",""
"","42","Create file with empty filename","LMS service","Tue Aug 19 20:50:15 UTC 2025","passed","Tue Aug 19 20:50:15 UTC 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Aug 19 20:50:18 UTC 2025","passed","Tue Aug 19 20:50:18 UTC 2025","Get entity","Users","",""
"","293","Delete file","LMS service","Tue Aug 19 20:50:16 UTC 2025","passed","Tue Aug 19 20:50:16 UTC 2025","Delete entity","Files","",""
"","561","Create user","LMS service","Tue Aug 19 20:50:17 UTC 2025","passed","Tue Aug 19 20:50:17 UTC 2025","Create entity","Users","",""
"","17","Update exercise","LMS service","Tue Aug 19 20:50:11 UTC 2025","passed","Tue Aug 19 20:50:11 UTC 2025","Update entity","Exercises","",""
"","264","Get file with incorrect id","LMS service","Tue Aug 19 20:50:16 UTC 2025","passed","Tue Aug 19 20:50:17 UTC 2025","Validate entity","Files","",""
"","18","Get exercises","LMS service","Tue Aug 19 20:50:13 UTC 2025","passed","Tue Aug 19 20:50:13 UTC 2025","Get entities","Exercises","",""
"","293","Get exercise","LMS service","Tue Aug 19 20:50:12 UTC 2025","passed","Tue Aug 19 20:50:12 UTC 2025","Get entity","Exercises","",""
"","41","Create file","LMS service","Tue Aug 19 20:50:13 UTC 2025","passed","Tue Aug 19 20:50:13 UTC 2025","Create entity","Files","",""
"","29","Get courses","LMS service","Tue Aug 19 20:50:09 UTC 2025","passed","Tue Aug 19 20:50:09 UTC 2025","Get entities","Courses","",""
"","545","Create user","LMS service","Tue Aug 19 20:50:16 UTC 2025","passed","Tue Aug 19 20:50:17 UTC 2025","Create entity","Users","",""
